budget_id,date_id,cc_id,product_id,budget_revenue,budget_cost,forecast_revenue,forecast_cost,scenario
1,2024-01-01,1,1,66473.41,52334.58,68418.62,52110.16,Actual
2,2024-01-01,1,2,23956.24,17753.37,24018.35,15316.45,Actual
3,2024-01-01,1,3,72327.31,37788.64,66477.12,41772.4,Actual
4,2024-01-01,1,4,94442.13,50536.04,107097.26,50764.82,Actual
5,2024-01-01,1,5,116061.69,65863.54,131251.36,61977.36,Actual
6,2024-01-01,2,1,103659.85,67987.64,117920.65,60747.92,Actual
7,2024-01-01,2,2,76549.04,50966.74,83151.48,46478.02,Actual
8,2024-01-01,2,3,39112.44,25483.6,41074.35,26833.69,Actual
9,2024-01-01,2,4,126254.38,83039.33,133273.77,70890.42,Actual
10,2024-01-01,2,5,54013.1,42654.87,54266.51,49046.58,Actual
11,2024-01-01,3,1,46810.67,27608.52,46619.56,25589.31,Actual
12,2024-01-01,3,2,76724.17,52402.15,74943.65,48085.43,Actual
13,2024-01-01,3,3,131899.28,89887.25,147732.61,91856.51,Actual
14,2024-01-01,3,4,38770.16,27507.21,38679.09,29233.18,Actual
15,2024-01-01,3,5,127594.32,92265.2,141758.47,93770.31,Actual
16,2024-01-01,4,1,122345.49,72535.57,134975.69,77091.51,Actual
17,2024-01-01,4,2,58514.1,32329.63,63978.61,30039.81,Actual
18,2024-01-01,4,3,41610.48,22647.25,45431.62,20709.92,Actual
19,2024-01-01,4,4,96685.76,60355.15,96225.03,65912.06,Actual
20,2024-01-01,4,5,45387.44,30466.73,42015.14,32464.3,Actual
21,2024-01-01,5,1,69271.61,41466.55,66507.28,37308.65,Actual
22,2024-01-01,5,2,30935.82,19255.3,28833.51,20813.66,Actual
23,2024-01-01,5,3,105529.57,55148.06,119409.99,61441.06,Actual
24,2024-01-01,5,4,132668.9,88513.69,119418.67,84472.04,Actual
25,2024-01-01,5,5,121387.25,62655.02,114868.64,57833.86,Actual
26,2024-01-01,6,1,24040.0,13583.23,22549.1,15166.15,Actual
27,2024-01-01,6,2,38648.42,20030.94,40089.71,21954.63,Actual
28,2024-01-01,6,3,119648.18,77473.76,129559.87,78763.79,Actual
29,2024-01-01,6,4,64912.47,47255.18,66908.3,43233.65,Actual
30,2024-01-01,6,5,93255.61,65642.08,106745.14,59125.44,Actual
31,2024-01-01,7,1,41150.26,29448.77,35978.78,26522.66,Actual
32,2024-01-01,7,2,53181.88,28754.08,47252.75,30768.48,Actual
33,2024-01-01,7,3,67955.17,50893.12,70450.49,50095.05,Actual
34,2024-01-01,7,4,28607.95,17610.39,24754.7,19776.73,Actual
35,2024-01-01,7,5,44783.11,32338.44,42944.48,35546.88,Actual
36,2024-01-01,8,1,71920.69,50478.83,65035.75,50909.9,Actual
37,2024-01-01,8,2,126844.9,90100.75,119953.23,77465.81,Actual
38,2024-01-01,8,3,95769.09,72963.32,105698.57,63573.87,Actual
39,2024-01-01,8,4,111294.35,66760.67,124693.85,76050.6,Actual
40,2024-01-01,8,5,109292.42,79628.05,125628.61,88833.35,Actual
41,2024-01-01,9,1,89598.97,46118.04,80032.35,43542.9,Actual
42,2024-01-01,9,2,42752.23,22525.55,42030.76,22119.62,Actual
43,2024-01-01,9,3,54382.04,40579.02,59313.6,37126.59,Actual
44,2024-01-01,9,4,84225.53,43040.28,75293.22,41209.17,Actual
45,2024-01-01,9,5,81864.9,41191.87,81226.84,40092.2,Actual
46,2024-01-01,10,1,140644.87,100254.89,138921.13,102456.81,Actual
47,2024-01-01,10,2,84892.17,42478.1,85554.58,39179.94,Actual
48,2024-01-01,10,3,41958.75,25555.0,41009.25,22790.08,Actual
49,2024-01-01,10,4,112744.08,89635.84,104068.8,92696.17,Actual
