production_id,date_id,machine_id,shift_id,product_id,units_produced,units_defect,downtime_mins,cost_actual,capacity_available
1,2024-01-01,3,1,3,402,11,85,94283.19,608
2,2024-01-01,3,2,1,505,6,93,30445.22,608
3,2024-01-01,3,3,3,593,30,71,137697.6,608
4,2024-01-01,4,1,1,868,2,40,54054.01,1264
5,2024-01-01,4,3,5,1179,29,83,214144.21,1264
6,2024-01-01,5,4,4,382,4,95,16264.12,584
7,2024-01-01,5,6,5,439,7,17,79900.68,584
8,2024-01-01,7,4,4,1276,39,76,58993.78,1544
9,2024-01-01,7,5,5,1431,1,92,239915.58,1544
10,2024-01-01,7,6,3,1377,37,37,334322.45,1544
11,2024-01-01,8,4,3,821,50,64,218633.36,848
12,2024-01-01,8,5,3,780,31,25,178557.36,848
13,2024-01-01,8,6,5,816,60,117,133428.06,848
14,2024-01-01,9,7,1,262,7,106,17666.1,408
15,2024-01-01,10,7,1,693,26,8,48235.07,1096
16,2024-01-01,10,8,2,711,27,70,83838.1,1096
17,2024-01-01,10,9,5,833,14,69,159048.27,1096
18,2024-01-02,1,1,3,336,18,47,81632.72,448
19,2024-01-02,1,2,1,311,1,2,20106.79,448
20,2024-01-02,2,3,2,560,1,42,64698.47,896
21,2024-01-02,3,2,2,489,28,112,62677.91,608
22,2024-01-02,3,3,4,551,8,12,23911.95,608
23,2024-01-02,4,1,4,982,57,86,42570.55,1264
24,2024-01-02,4,2,1,951,25,110,55695.67,1264
25,2024-01-02,5,4,2,444,9,31,60315.41,584
26,2024-01-02,5,6,5,372,19,69,72119.1,584
27,2024-01-02,6,4,2,949,36,27,128681.46,1432
28,2024-01-02,6,5,2,1065,83,33,146076.11,1432
29,2024-01-02,6,6,3,1089,83,100,270882.0,1432
30,2024-01-02,7,4,2,1037,18,7,133131.47,1544
31,2024-01-02,7,5,3,959,44,64,255701.86,1544
32,2024-01-02,7,6,1,1490,9,23,86490.97,1544
33,2024-01-02,8,5,4,547,38,31,23369.96,848
34,2024-01-02,9,8,5,325,24,26,61043.61,408
35,2024-01-02,9,9,3,306,16,38,74632.01,408
36,2024-01-02,10,7,1,661,32,72,46159.88,1096
37,2024-01-03,1,2,1,418,12,20,26227.23,448
38,2024-01-03,1,3,3,372,29,83,92041.68,448
39,2024-01-03,2,1,5,639,33,120,124859.39,896
40,2024-01-03,2,3,5,590,13,26,111844.11,896
41,2024-01-03,3,2,3,481,9,116,126516.61,608
42,2024-01-03,4,1,3,779,20,16,196889.12,1264
43,2024-01-03,4,3,5,1097,49,14,182351.85,1264
44,2024-01-03,5,4,2,471,31,74,60150.29,584
45,2024-01-03,5,5,1,418,30,101,29063.43,584
46,2024-01-03,6,4,2,1222,34,71,166301.23,1432
47,2024-01-03,6,5,5,1267,93,30,246946.98,1432
48,2024-01-03,6,6,2,1338,2,94,183452.3,1432
49,2024-01-03,7,4,4,1397,96,103,55798.39,1544
50,2024-01-03,7,6,4,1438,98,28,56848.18,1544
51,2024-01-03,8,4,3,607,38,29,141047.28,848
52,2024-01-03,8,5,4,614,42,98,24684.03,848
53,2024-01-03,8,6,4,727,49,42,33263.79,848
54,2024-01-03,9,8,2,334,26,4,38904.98,408
55,2024-01-03,9,9,3,312,24,14,74989.7,408
56,2024-01-03,10,7,3,676,23,66,180450.29,1096
57,2024-01-03,10,8,2,809,4,85,110845.46,1096
58,2024-01-03,10,9,1,957,22,39,62827.57,1096
59,2024-01-04,1,1,3,363,5,85,97162.72,448
60,2024-01-04,1,2,2,373,8,70,50286.08,448
61,2024-01-04,1,3,2,341,15,83,41563.53,448
62,2024-01-04,2,1,2,711,45,101,94096.7,896
63,2024-01-04,2,2,3,713,36,42,161134.19,896
64,2024-01-04,2,3,2,766,13,25,89979.35,896
65,2024-01-04,3,2,5,561,3,53,109781.6,608
66,2024-01-04,3,3,4,479,9,83,20902.74,608
67,2024-01-04,4,1,1,1132,19,102,78502.97,1264
68,2024-01-04,4,2,1,1026,75,15,64614.2,1264
69,2024-01-04,4,3,5,1232,58,96,241325.75,1264
70,2024-01-04,5,4,5,445,32,57,87260.66,584
71,2024-01-04,5,5,4,450,27,107,19448.1,584
72,2024-01-04,5,6,5,457,8,56,76003.27,584
73,2024-01-04,6,6,5,903,10,49,170402.05,1432
74,2024-01-04,7,4,1,1169,30,59,73015.54,1544
75,2024-01-04,7,6,5,1481,2,112,283329.49,1544
76,2024-01-04,8,4,1,812,19,49,55232.98,848
77,2024-01-04,8,5,4,682,40,102,29277.28,848
78,2024-01-04,9,8,1,305,16,102,19005.85,408
79,2024-01-04,10,7,2,1066,45,116,131865.54,1096
80,2024-01-04,10,8,1,692,23,110,43625.99,1096
81,2024-01-05,1,1,2,346,9,112,42670.38,448
82,2024-01-05,1,2,4,311,2,2,13732.14,448
83,2024-01-05,2,1,2,758,47,83,86987.75,896
84,2024-01-05,3,1,5,400,4,85,67060.0,608
85,2024-01-05,3,2,4,526,32,21,22592.1,608
86,2024-01-05,3,3,1,544,7,39,31851.47,608
87,2024-01-05,4,2,4,948,54,9,40607.32,1264
88,2024-01-05,4,3,2,807,49,108,105747.13,1264
89,2024-01-05,5,4,5,524,14,54,98264.88,584
90,2024-01-05,5,6,1,538,35,13,33724.72,584
91,2024-01-05,6,4,4,1244,43,93,52550.21,1432
92,2024-01-05,6,5,5,1298,55,61,234138.16,1432
93,2024-01-05,6,6,5,1005,68,106,198437.94,1432
94,2024-01-05,7,5,4,1260,67,43,48000.23,1544
95,2024-01-05,7,6,2,1212,34,33,148281.42,1544
96,2024-01-05,8,4,3,687,28,24,154995.55,848
97,2024-01-05,8,5,4,687,13,60,29738.4,848
98,2024-01-05,8,6,1,538,9,88,32424.42,848
99,2024-01-05,9,7,3,318,13,54,85998.1,408
100,2024-01-05,9,8,3,353,7,32,82158.09,408
101,2024-01-05,9,9,3,263,11,97,67158.64,408
102,2024-01-05,10,8,3,959,74,67,240480.86,1096
103,2024-01-05,10,9,2,780,22,38,88997.7,1096
104,2024-01-06,1,1,3,276,1,37,70576.77,448
105,2024-01-06,1,3,4,286,0,36,11955.53,448
106,2024-01-06,2,1,2,866,17,110,108957.59,896
107,2024-01-06,2,2,4,705,32,87,27005.0,896
108,2024-01-06,3,1,3,384,7,71,99460.08,608
109,2024-01-06,3,2,5,416,17,57,81744.74,608
110,2024-01-06,4,1,4,905,44,78,41567.04,1264
111,2024-01-06,4,3,2,885,5,30,104549.75,1264
112,2024-01-06,5,6,5,454,1,36,85887.32,584
113,2024-01-06,6,4,4,897,16,33,39899.64,1432
114,2024-01-06,6,5,2,1090,47,82,128083.56,1432
115,2024-01-06,7,6,5,1365,62,36,244948.33,1544
116,2024-01-06,8,4,3,734,55,64,182007.85,848
117,2024-01-06,8,5,5,521,18,41,96608.05,848
118,2024-01-06,9,8,5,335,0,97,62952.98,408
119,2024-01-06,10,8,4,873,30,35,34379.34,1096
120,2024-01-06,10,9,4,1061,39,52,43137.92,1096
121,2024-01-07,1,1,2,324,17,36,42278.59,448
122,2024-01-07,1,2,5,275,1,32,48190.78,448
123,2024-01-07,1,3,4,416,27,0,18048.68,448
124,2024-01-07,2,1,4,556,23,79,24584.76,896
125,2024-01-07,2,2,1,606,26,118,36867.04,896
126,2024-01-07,2,3,4,578,44,77,25765.98,896
127,2024-01-07,3,1,3,492,21,11,114367.99,608
128,2024-01-07,3,2,1,471,4,106,27851.81,608
129,2024-01-07,3,3,3,482,10,106,118156.99,608
130,2024-01-07,4,1,4,1023,31,117,43882.57,1264
131,2024-01-07,4,2,2,1173,25,101,158751.62,1264
132,2024-01-07,4,3,5,886,0,92,154466.24,1264
133,2024-01-07,5,4,4,542,19,61,22090.39,584
134,2024-01-07,5,5,5,434,32,111,73931.08,584
135,2024-01-07,5,6,5,435,29,52,71809.71,584
136,2024-01-07,6,4,4,1069,56,105,46329.16,1432
137,2024-01-07,6,6,2,1132,53,111,131627.62,1432
138,2024-01-07,7,4,1,1234,45,92,72816.66,1544
139,2024-01-07,7,5,2,970,60,33,118630.49,1544
140,2024-01-07,7,6,1,1426,97,109,91202.97,1544
141,2024-01-07,8,4,4,789,2,8,31424.99,848
142,2024-01-07,8,5,3,830,49,55,223713.4,848
143,2024-01-07,8,6,1,651,36,115,37461.67,848
144,2024-01-07,9,7,1,290,8,18,17481.13,408
145,2024-01-07,9,8,2,271,1,111,33444.43,408
146,2024-01-07,9,9,4,386,4,59,16682.94,408
147,2024-01-07,10,7,1,1031,38,36,67826.11,1096
148,2024-01-07,10,9,3,1068,25,54,272728.14,1096
149,2024-01-08,1,1,3,302,9,61,68447.5,448
150,2024-01-08,1,2,3,366,29,37,81427.47,448
151,2024-01-08,1,3,4,315,14,87,13986.36,448
152,2024-01-08,2,1,5,791,52,115,137548.58,896
153,2024-01-08,2,2,5,810,14,24,150702.3,896
154,2024-01-08,2,3,2,751,54,82,86168.57,896
155,2024-01-08,3,1,1,498,29,11,34229.9,608
156,2024-01-08,3,2,4,405,4,69,18316.85,608
157,2024-01-08,3,3,5,575,38,32,113104.36,608
158,2024-01-08,4,1,3,1116,30,14,272797.17,1264
159,2024-01-08,4,3,2,1171,67,50,161821.32,1264
160,2024-01-08,5,4,3,370,11,33,91685.76,584
161,2024-01-08,5,5,3,480,31,120,115044.72,584
162,2024-01-08,5,6,4,355,25,71,14417.68,584
163,2024-01-08,6,4,1,1204,44,89,73464.02,1432
164,2024-01-08,6,5,2,883,2,63,103025.85,1432
165,2024-01-08,7,4,4,1192,63,95,52105.69,1544
166,2024-01-08,7,5,5,1361,16,53,254899.82,1544
167,2024-01-08,7,6,5,1165,88,4,219687.87,1544
168,2024-01-08,8,5,2,784,6,87,96452.98,848
169,2024-01-08,8,6,3,528,11,15,141552.22,848
170,2024-01-08,9,7,1,347,17,76,24121.95,408
171,2024-01-08,9,9,2,366,6,106,48708.06,408
172,2024-01-08,10,9,3,980,61,76,217108.72,1096
173,2024-01-09,1,1,2,436,18,102,51514.53,448
174,2024-01-09,1,2,1,291,8,100,17518.25,448
175,2024-01-09,1,3,2,313,3,53,39763.31,448
176,2024-01-09,2,1,4,690,19,75,26752.24,896
177,2024-01-09,2,2,5,552,34,110,103463.16,896
178,2024-01-09,2,3,1,558,21,51,34927.02,896
179,2024-01-09,3,2,4,381,2,77,14897.78,608
180,2024-01-09,4,1,5,1021,26,76,186608.37,1264
181,2024-01-09,4,2,5,965,61,14,187670.95,1264
182,2024-01-09,4,3,5,1104,18,57,216119.18,1264
183,2024-01-09,5,4,4,438,25,40,18152.45,584
184,2024-01-09,5,5,3,562,30,60,126283.06,584
185,2024-01-09,5,6,1,446,26,47,30101.14,584
186,2024-01-09,6,4,5,1379,61,85,231582.24,1432
187,2024-01-09,6,5,4,1331,76,36,57106.09,1432
