sale_id,date_id,product_id,cc_id,channel,units_sold,revenue,discount_pct,cost_of_goods,gross_margin
1,2024-01-01,2,12,Distributor,58,11374.05,0.044,7330.04,4044.01
2,2024-01-01,2,12,Distributor,8,1534.37,0.065,1011.04,523.33
3,2024-01-01,1,2,Distributor,86,10498.66,0.111,5463.58,5035.08
4,2024-01-02,4,7,OEM,189,12283.23,0.012,7949.34,4333.89
5,2024-01-02,4,2,OEM,18,1073.92,0.093,757.08,316.84
6,2024-01-02,4,12,OEM,35,2251.65,0.022,1472.1,779.55
7,2024-01-02,1,12,Distributor,162,20488.42,0.079,10291.86,10196.56
8,2024-01-02,2,12,Distributor,41,7863.66,0.065,5181.58,2682.08
9,2024-01-03,1,2,Distributor,68,7955.77,0.148,4320.04,3635.73
10,2024-01-03,5,12,Direct,17,5471.22,0.084,3088.22,2383.0
11,2024-01-03,4,2,OEM,159,9454.95,0.096,6687.54,2767.41
12,2024-01-04,4,12,OEM,109,6983.6,0.026,4584.54,2399.06
13,2024-01-04,2,2,Distributor,35,6562.11,0.086,4423.3,2138.81
14,2024-01-04,2,2,Distributor,107,20566.13,0.063,13522.66,7043.47
15,2024-01-04,3,7,OEM,93,43289.19,0.033,22878.0,20411.19
16,2024-01-04,5,2,Direct,125,39614.71,0.098,22707.5,16907.21
17,2024-01-04,3,7,OEM,157,66958.14,0.114,38622.0,28336.14
18,2024-01-04,5,12,Direct,131,41378.14,0.101,23797.46,17580.68
19,2024-01-04,2,7,Distributor,106,20004.28,0.08,13396.28,6608.0
20,2024-01-05,2,12,Distributor,30,5643.13,0.083,3791.4,1851.73
21,2024-01-05,3,2,OEM,34,13927.67,0.149,8364.0,5563.67
22,2024-01-05,3,7,OEM,149,63259.37,0.118,36654.0,26605.37
23,2024-01-05,5,12,Direct,55,17739.66,0.082,9991.3,7748.36
24,2024-01-05,5,2,Direct,146,49706.89,0.031,26522.36,23184.53
25,2024-01-05,1,2,Distributor,147,19075.81,0.055,9338.91,9736.9
26,2024-01-05,3,7,OEM,191,89825.15,0.023,46986.0,42839.15
27,2024-01-06,3,12,OEM,175,71770.78,0.148,43050.0,28720.78
28,2024-01-06,2,2,Distributor,36,6491.13,0.121,4549.68,1941.45
29,2024-01-06,3,12,OEM,93,42214.79,0.057,22878.0,19336.79
30,2024-01-06,5,7,Direct,135,47242.52,0.004,24524.1,22718.42
31,2024-01-06,3,12,OEM,195,92457.22,0.015,47970.0,44487.22
32,2024-01-06,5,12,Direct,169,52787.18,0.111,30700.54,22086.64
33,2024-01-06,1,2,Distributor,156,21293.39,0.006,9910.68,11382.71
34,2024-01-07,1,12,Distributor,26,3113.32,0.128,1651.78,1461.54
35,2024-01-07,3,2,OEM,122,53029.51,0.097,30012.0,23017.51
36,2024-01-07,2,12,Distributor,73,13731.61,0.083,9225.74,4505.87
37,2024-01-07,5,2,Direct,21,6795.46,0.079,3814.86,2980.6
38,2024-01-07,1,2,Distributor,130,16048.59,0.101,8258.9,7789.69
39,2024-01-07,3,12,OEM,130,60261.46,0.037,31980.0,28281.46
40,2024-01-07,4,2,OEM,56,3366.88,0.086,2355.36,1011.52
41,2024-01-08,5,7,Direct,30,10097.8,0.042,5449.8,4648.0
42,2024-01-08,1,12,Distributor,169,21837.86,0.059,10736.57,11101.29
43,2024-01-08,5,12,Direct,78,26391.3,0.037,14169.48,12221.82
44,2024-01-08,2,2,Distributor,12,2387.71,0.03,1516.56,871.15
45,2024-01-08,3,7,OEM,77,36842.33,0.006,18942.0,17900.33
46,2024-01-08,1,2,Distributor,131,15794.27,0.122,8322.43,7471.84
47,2024-01-08,4,12,OEM,125,7679.81,0.066,5257.5,2422.31
48,2024-01-08,2,2,Distributor,29,5336.05,0.103,3665.02,1671.03
49,2024-01-09,2,7,Distributor,105,20354.02,0.055,13269.9,7084.12
50,2024-01-09,2,2,Distributor,115,21915.06,0.071,14533.7,7381.36
51,2024-01-09,1,2,Distributor,63,7924.46,0.084,4002.39,3922.07
52,2024-01-10,3,12,OEM,106,49289.34,0.034,26076.0,23213.34
53,2024-01-10,1,12,Distributor,195,25625.97,0.043,12388.35,13237.62
54,2024-01-10,4,2,OEM,47,2949.44,0.046,1976.82,972.62
55,2024-01-10,4,12,OEM,42,2514.11,0.09,1766.52,747.59
56,2024-01-11,4,12,OEM,155,9696.3,0.049,6519.3,3177.0
57,2024-01-11,3,2,OEM,74,33020.33,0.073,18204.0,14816.33
58,2024-01-11,4,7,OEM,155,9818.65,0.037,6519.3,3299.35
59,2024-01-11,2,2,Distributor,134,24078.98,0.124,16934.92,7144.06
60,2024-01-12,3,2,OEM,138,60117.05,0.095,33948.0,26169.05
61,2024-01-12,5,7,Direct,110,35286.08,0.087,19982.6,15303.48
62,2024-01-12,5,12,Direct,73,23750.56,0.074,13261.18,10489.38
63,2024-01-12,2,7,Distributor,172,32530.34,0.078,21737.36,10792.98
64,2024-01-12,3,12,OEM,53,23930.33,0.062,13038.0,10892.33
65,2024-01-12,1,2,Distributor,137,18624.71,0.01,8703.61,9921.1
66,2024-01-12,1,7,Distributor,60,7407.04,0.101,3811.8,3595.24
67,2024-01-13,3,2,OEM,179,76513.13,0.112,44034.0,32479.13
68,2024-01-13,1,7,Distributor,110,14697.36,0.027,6988.3,7709.06
69,2024-01-13,5,12,Direct,58,20154.14,0.011,10536.28,9617.86
70,2024-01-14,2,7,Distributor,42,7822.84,0.092,5307.96,2514.88
71,2024-01-14,5,2,Direct,103,34813.87,0.038,18710.98,16102.89
72,2024-01-14,4,7,OEM,171,10224.78,0.091,7192.26,3032.52
73,2024-01-14,3,2,OEM,67,32186.62,0.002,16482.0,15704.62
74,2024-01-15,3,2,OEM,120,52217.93,0.096,29520.0,22697.93
75,2024-01-15,2,2,Distributor,163,31563.76,0.056,20599.94,10963.82
76,2024-01-15,5,12,Direct,131,42943.05,0.067,23797.46,19145.59
77,2024-01-15,1,7,Distributor,59,7340.3,0.094,3748.27,3592.03
78,2024-01-15,4,12,OEM,194,12582.66,0.014,8159.64,4423.02
79,2024-01-15,4,2,OEM,87,5202.08,0.091,3659.22,1542.86
80,2024-01-15,1,2,Distributor,19,2499.5,0.042,1207.07,1292.43
81,2024-01-16,3,7,OEM,80,36159.76,0.061,19680.0,16479.76
82,2024-01-16,4,7,OEM,22,1400.85,0.032,925.32,475.53
83,2024-01-16,5,7,Direct,82,26995.63,0.063,14896.12,12099.51
84,2024-01-16,4,12,OEM,150,8702.69,0.118,6309.0,2393.69
85,2024-01-16,3,12,OEM,115,48879.7,0.117,28290.0,20589.7
86,2024-01-16,5,2,Direct,96,30255.45,0.103,17439.36,12816.09
87,2024-01-17,2,2,Distributor,121,21494.75,0.134,15291.98,6202.77
88,2024-01-17,3,12,OEM,171,70294.93,0.146,42066.0,28228.93
89,2024-01-17,2,2,Distributor,174,30838.42,0.136,21990.12,8848.3
90,2024-01-17,2,7,Distributor,56,11108.2,0.033,7077.28,4030.92
91,2024-01-17,5,2,Direct,53,18193.25,0.023,9627.98,8565.27
92,2024-01-18,1,7,Distributor,10,1275.7,0.071,635.3,640.4
93,2024-01-18,2,7,Distributor,91,18573.5,0.005,11500.58,7072.92
94,2024-01-18,3,12,OEM,12,5591.48,0.032,2952.0,2639.48
95,2024-01-18,4,12,OEM,81,5328.18,0.0,3406.86,1921.32
96,2024-01-18,4,12,OEM,120,7704.15,0.024,5047.2,2656.95
97,2024-01-18,3,12,OEM,123,57549.48,0.028,30258.0,27291.48
98,2024-01-18,1,2,Distributor,32,4367.87,0.006,2032.96,2334.91
99,2024-01-18,2,7,Distributor,83,16634.2,0.023,10489.54,6144.66
100,2024-01-19,2,7,Distributor,21,4049.27,0.06,2653.98,1395.29
101,2024-01-19,5,7,Direct,71,23224.59,0.069,12897.86,10326.73
102,2024-01-19,1,7,Distributor,88,11709.55,0.031,5590.64,6118.91
103,2024-01-19,3,2,OEM,69,31021.73,0.066,16974.0,14047.73
104,2024-01-19,5,12,Direct,83,26041.71,0.107,15077.78,10963.93
105,2024-01-19,1,7,Distributor,129,17554.85,0.009,8195.37,9359.48
106,2024-01-20,1,12,Distributor,132,16712.39,0.078,8385.96,8326.43
107,2024-01-20,1,7,Distributor,122,14357.36,0.143,7750.66,6606.7
108,2024-01-20,5,7,Direct,105,35821.89,0.029,19074.3,16747.59
109,2024-01-20,5,12,Direct,43,14639.7,0.031,7811.38,6828.32
110,2024-01-20,2,2,Distributor,57,11084.4,0.052,7203.66,3880.74
111,2024-01-20,3,2,OEM,193,89743.8,0.034,47478.0,42265.8
112,2024-01-20,3,7,OEM,80,34503.88,0.104,19680.0,14823.88
113,2024-01-21,3,2,OEM,138,59585.63,0.103,33948.0,25637.63
114,2024-01-21,2,2,Distributor,137,27259.73,0.03,17314.06,9945.67
115,2024-01-21,4,12,OEM,197,12660.61,0.023,8285.82,4374.79
